suburb,lower_date,upper_date,pct_change
Aberfoyle Park,2023-08-22,2024-05-24,5.716735743890239
Adelaide,2023-08-22,2024-05-24,20.531833290718488
Albert Park,2023-08-22,2024-05-24,11.404887809061027
Alberton,2023-08-22,2024-05-24,15.62406015037594
Aldgate,2023-08-22,2024-05-24,11.675579322638146
Aldinga,2023-08-22,2024-05-24,49.67444993264481
Aldinga Beach,2023-08-22,2024-05-24,9.69962453066333
Alford,2023-08-22,2024-05-24,27.989928661351236
Allenby Gardens,2023-08-22,2024-05-24,12.698412698412698
Allendale East,2023-08-22,2024-05-24,0.0
American River,2023-08-22,2024-05-24,-5.70889765129436
Andrews Farm,2023-08-22,2024-05-24,16.689655172413794
Angaston,2023-08-22,2024-05-24,10.049019607843137
Angle Park,2023-08-22,2024-05-24,6.013179571663921
Angle Vale,2023-08-22,2024-05-24,7.416439535217329
Ardrossan,2023-08-22,2024-05-24,-0.27122321670735017
Armagh,2023-08-22,2024-05-24,141.3525179856115
Arno Bay,2023-08-22,2024-05-24,0.0
Arthurton,2023-08-22,2024-05-24,0.0
Ascot Park,2023-08-22,2024-05-24,11.474908200734395
Ashbourne,2023-08-22,2024-05-24,149.32857742341585
Ashford,2023-08-22,2024-05-24,-4.759441282979824
Ashton,2023-08-22,2024-05-24,-38.64661654135338
Athelstone,2023-08-22,2024-05-24,5.4420062695924765
Athol Park,2023-08-22,2024-05-24,12.29406554472985
Auburn,2023-08-22,2024-05-24,18.184488836662748
Auldana,2023-08-22,2024-05-24,0.0
Balaklava,2023-08-22,2024-05-24,19.254863171777117
Balgowan,2023-08-22,2024-05-24,-12.456672443674178
Balhannah,2023-08-22,2024-05-24,15.884831460674157
Banksia Park,2023-08-22,2024-05-24,3.9242843951985225
Barmera,2023-08-22,2024-05-24,20.039908779931583
Basket Range,2023-08-22,2024-05-24,24.441964285714285
Baudin Beach,2023-08-22,2024-05-24,0.0
Beachport,2023-08-22,2024-05-24,10.734913363871739
Beaumont,2023-08-22,2024-05-24,11.296206225680933
Bedford Park,2023-08-22,2024-05-24,10.83191368540602
Belair,2023-08-22,2024-05-24,11.812053526511722
Bellevue Heights,2023-08-22,2024-05-24,4.9851019940407975
Berri,2023-08-22,2024-05-24,16.442451420029897
Beulah Park,2023-08-22,2024-05-24,10.857605177993527
Beverley,2023-08-22,2024-05-24,31.665928877084255
Birdwood,2023-08-22,2024-05-24,23.703841850055948
Birkenhead,2023-08-22,2024-05-24,1.2454212454212454
Black Forest,2023-08-22,2024-05-24,22.491544532130778
Black Point,2024-05-24,2024-05-24,0.0
Blackfellows Caves,2023-08-22,2024-05-24,60.89139987445073
Blackwood,2023-08-22,2024-05-24,-1.81781045751634
Blair Athol,2023-08-22,2024-05-24,11.789814542243155
Blakeview,2023-08-22,2024-05-24,14.457083764219233
Blakiston,2023-08-22,2024-05-24,0.0
Blanchetown,2023-08-22,2024-05-24,81.66479190101236
Blyth,2023-08-22,2024-05-24,63.684811572135516
Boatswain Point,2023-08-22,2024-05-24,0.0
Booleroo Centre,2023-08-22,2024-05-24,12.189292543021033
Bordertown,2023-08-22,2024-05-24,22.40907313257724
Boston,2023-08-22,2024-05-24,31.037093111279333
Bowden,2023-08-22,2024-05-24,3.456546275395034
Bowhill,2023-08-22,2024-05-24,0.0
Bradbury,2023-08-22,2024-05-24,0.0
Brahma Lodge,2023-08-22,2024-05-24,13.625254582484725
Bridgewater,2023-08-22,2024-05-24,10.650386847195357
Brighton,2023-08-22,2024-05-24,18.779707890415693
Brinkworth,2023-08-22,2024-05-24,0.0
Broadview,2023-08-22,2024-05-24,15.02093080522039
Brompton,2023-08-22,2024-05-24,9.53804347826087
Brooklyn Park,2023-08-22,2024-05-24,11.41826923076923
Brownlow Ki,2023-08-22,2024-05-24,0.0
Brukunga,2023-08-22,2024-05-24,-23.943500229673866
Bugle Ranges,2023-08-22,2024-05-24,0.0
Burnside,2023-08-22,2024-05-24,14.911528568087926
Burra,2023-08-22,2024-05-24,13.504925325707024
Burton,2023-08-22,2024-05-24,9.930961232076474
Bute,2023-08-22,2024-05-24,0.0
Cadell,2023-08-22,2024-05-24,29.82370225269344
Callington,2023-08-22,2024-05-24,55.71387859789114
Cambrai,2023-08-22,2024-05-24,0.0
Camden Park,2023-08-22,2024-05-24,8.570268074735987
Campbelltown,2023-08-22,2024-05-24,9.923462655054104
Cape Jaffa,2023-08-22,2024-05-24,0.0
Cape Jervis,2023-08-22,2024-05-24,-29.709984502988707
Carey Gully,2023-08-22,2024-05-24,0.0
Carpenter Rocks,2023-08-22,2024-05-24,0.0
Carrickalinga,2023-08-22,2024-05-24,38.61949139156531
Ceduna,2023-08-22,2024-05-24,-3.954994885782475
Ceduna Waters,2023-08-22,2024-05-24,0.0
Chandlers Hill,2023-08-22,2024-05-24,40.64378255643115
Charleston,2023-08-22,2024-05-24,0.0
Cheltenham,2023-08-22,2024-05-24,9.17941585535466
Cherry Gardens,2023-08-22,2024-05-24,6.669936243256498
Christie Downs,2023-08-22,2024-05-24,9.946457990115322
Christies Beach,2023-08-22,2024-05-24,10.573292138688638
Clapham,2023-08-22,2024-05-24,5.1547469677959015
Clare,2023-08-22,2024-05-24,20.265193370165747
Clarence Gardens,2023-08-22,2024-05-24,12.636232778120501
Clarence Park,2023-08-22,2024-05-24,12.53205978597329
Clarendon,2023-08-22,2024-05-24,17.809264305177113
Clayton Bay,2023-08-22,2024-05-24,22.87092882991556
Clearview,2023-08-22,2024-05-24,11.501248439450688
Cleve,2023-08-22,2024-05-24,10.982658959537572
Clinton,2023-08-22,2024-05-24,17.583408476104598
Clovelly Park,2023-08-22,2024-05-24,10.616869492236676
Cobdogla,2023-08-22,2024-05-24,2.880658436213992
Cockatoo Valley,2023-08-22,2024-05-24,15.978398983481576
Coffin Bay,2023-08-22,2024-05-24,7.511737089201878
College Park,2023-08-22,2024-05-24,21.892702432522494
Collinswood,2023-08-22,2024-05-24,-0.686660607896597
Colonel Light Gardens,2023-08-22,2024-05-24,17.21050365906156
Commissariat Point,2023-08-22,2024-05-24,-4.884922498825739
Compton,2023-08-22,2024-05-24,2.7534039334341904
Concordia,2023-08-22,2024-05-24,33.36612236867991
Coober Pedy,2023-08-22,2024-05-24,9.57613814756672
Coobowie,2023-08-22,2024-05-24,0.0
Cooltong,2023-08-22,2024-05-24,0.0
Coonalpyn,2023-08-22,2024-05-24,67.73187840997662
Coonamia,2024-05-24,2024-05-24,0.0
Corny Point,2023-08-22,2024-05-24,0.0
Coromandel East,2023-08-22,2024-05-24,22.14342001576044
Coromandel Valley,2023-08-22,2024-05-24,5.503709021296961
Cowandilla,2023-08-22,2024-05-24,1.6691147015622914
Cowell,2023-08-22,2024-05-24,10.215920077344505
Crafers,2023-08-22,2024-05-24,26.9943361812422
Crafers West,2023-08-22,2024-05-24,3.4859937750111163
Craigburn Farm,2023-08-22,2024-05-24,7.09128830418739
Craigmore,2023-08-22,2024-05-24,16.64535379369139
Cross Roads,2023-08-22,2024-05-24,0.0
Croydon,2023-08-22,2024-05-24,19.098762549614754
Croydon Park,2023-08-22,2024-05-24,11.305536568694464
Crystal Brook,2023-08-22,2024-05-24,24.40740740740741
Cudlee Creek,2023-08-22,2024-05-24,45.43017304411406
Cumberland Park,2023-08-22,2024-05-24,6.852497096399536
Cummins,2023-08-22,2024-05-24,-21.196105702364395
Curramulka,2023-08-22,2024-05-24,0.0
Currency Creek,2023-08-22,2024-05-24,2.9395574149510075
Darlington,2023-08-22,2024-05-24,18.551724137931032
Davoren Park,2023-08-22,2024-05-24,16.666666666666664
Daw Park,2023-08-22,2024-05-24,5.514869063470928
Dawesley,2023-08-22,2024-05-24,13.333333333333334
Delamere,2023-08-22,2024-05-24,0.0
Dernancourt,2023-08-22,2024-05-24,10.400670110288985
Devon Park,2023-08-22,2024-05-24,7.180585296216988
Direk,2023-08-22,2024-05-24,7.243305721440955
Donovans,2023-08-22,2024-05-24,-36.542669584245075
Dover Gardens,2023-08-22,2024-05-24,9.249045396690708
Dry Creek,2023-08-22,2024-05-24,0.0
Dublin,2023-08-22,2024-05-24,-17.36470588235294
Dudley Park,2023-08-22,2024-05-24,37.19851576994434
Dulwich,2023-08-22,2024-05-24,-8.083356183164245
Dutton,2023-08-22,2024-05-24,0.0
East Moonta,2023-08-22,2024-05-24,0.0
Eastwood,2023-08-22,2024-05-24,17.54580788450861
Echunga,2023-08-22,2024-05-24,-1.4492753623188406
Eden Hills,2023-08-22,2024-05-24,4.974306269270298
Eden Valley,2023-08-22,2024-05-24,11.441202475685234
Edithburgh,2023-08-22,2024-05-24,28.932424758659852
Edwardstown,2023-08-22,2024-05-24,6.06338397066527
Eight Mile Creek,2023-08-22,2024-05-24,102.62777938203868
Elizabeth,2023-08-22,2024-05-24,-4.901511681172698
Elizabeth Downs,2023-08-22,2024-05-24,15.035260930888574
Elizabeth East,2023-08-22,2024-05-24,14.41932969602494
Elizabeth Grove,2023-08-22,2024-05-24,11.210539398458861
Elizabeth North,2023-08-22,2024-05-24,12.963495257257831
Elizabeth Park,2023-08-22,2024-05-24,22.228246137164543
Elizabeth South,2023-08-22,2024-05-24,4.639175257731959
Elizabeth Vale,2023-08-22,2024-05-24,19.70715314450312
Elliston,2023-08-22,2024-05-24,38.686605981794536
Emu Bay,2023-08-22,2024-05-24,7.373493975903614
Encounter Bay,2023-08-22,2024-05-24,10.636621493854397
Enfield,2023-08-22,2024-05-24,9.702127659574469
Erindale,2023-08-22,2024-05-24,19.168396471198754
Ethelton,2023-08-22,2024-05-24,2.91648883198179
Eudunda,2023-08-22,2024-05-24,44.705414012738856
Evandale,2023-08-22,2024-05-24,1.6985138004246285
Evanston,2023-08-22,2024-05-24,14.604606981714557
Evanston Gardens,2023-08-22,2024-05-24,6.789989118607181
Evanston Park,2023-08-22,2024-05-24,12.370341913177104
Evanston South,2023-08-22,2024-05-24,7.549720023170496
Everard Park,2023-08-22,2024-05-24,4.614695340501792
Exeter,2023-08-22,2024-05-24,-1.7226404169079328
Fairview Park,2023-08-22,2024-05-24,10.080271688792838
Farrell Flat,2023-08-22,2024-05-24,28.205128205128204
Felixstow,2023-08-22,2024-05-24,3.624918602127198
Ferryden Park,2023-08-22,2024-05-24,4.288266825491363
Findon,2023-08-22,2024-05-24,9.893307468477207
Finniss,2023-08-22,2024-05-24,0.0
Firle,2023-08-22,2024-05-24,18.243164630599185
Fisherman Bay,2023-08-22,2024-05-24,73.98119122257053
Fitzroy,2023-08-22,2024-05-24,8.414928338299985
Flagstaff Hill,2023-08-22,2024-05-24,5.942028985507246
Flaxley,2023-08-22,2024-05-24,0.0
Flaxman Valley,2023-08-22,2024-05-24,0.0
Flinders Park,2023-08-22,2024-05-24,3.682213791564383
Forest Range,2023-08-22,2024-05-24,0.0
Forestville,2023-08-22,2024-05-24,-10.606665336260228
Forreston,2023-08-22,2024-05-24,0.0
Foul Bay,2023-08-22,2024-05-24,101.29032258064517
Freeling,2023-08-22,2024-05-24,5.151942040652043
Frewville,2023-08-22,2024-05-24,2.209612243143324
Fulham,2023-08-22,2024-05-24,9.541019154318757
Fulham Gardens,2023-08-22,2024-05-24,8.966488879943645
Fullarton,2023-08-22,2024-05-24,9.556015276893698
Gawler,2023-08-22,2024-05-24,-15.186157886605903
Gawler Belt,2023-08-22,2024-05-24,-11.329576789353794
Gawler East,2023-08-22,2024-05-24,15.856313497822933
Gawler South,2023-08-22,2024-05-24,2.3046453006841916
Gawler West,2023-08-22,2024-05-24,21.9977233921457
Gepps Cross,2023-08-22,2024-05-24,6.0488436034287565
Geranium,2023-08-22,2024-05-24,0.0
Gilberton,2023-08-22,2024-05-24,6.713845037198331
Gilles Plains,2023-08-22,2024-05-24,17.185232951797516
Gillman,2023-08-22,2024-05-24,0.0
Gladstone,2023-08-22,2024-05-24,-9.920318725099602
Glandore,2023-08-22,2024-05-24,3.6303630363036308
Glanville,2023-08-22,2024-05-24,-7.5583361515049035
Glen Osmond,2023-08-22,2024-05-24,0.7972580284628568
Glenalta,2023-08-22,2024-05-24,12.602641913602286
Glenburnie,2023-08-22,2024-05-24,0.0
Glencoe,2023-08-22,2024-05-24,0.0
Glenelg,2023-08-22,2024-05-24,44.60378061271999
Glenelg East,2023-08-22,2024-05-24,12.399037635332531
Glenelg North,2023-08-22,2024-05-24,19.27287335542834
Glenelg South,2023-08-22,2024-05-24,48.98761835396941
Glengowrie,2023-08-22,2024-05-24,6.3496751329001775
Glenside,2023-08-22,2024-05-24,-2.12691281763302
Glenunga,2023-08-22,2024-05-24,2.1844660194174756
Globe Derby Park,2023-08-22,2024-05-24,0.0
Glossop,2023-08-22,2024-05-24,81.97908286403862
Glynde,2023-08-22,2024-05-24,8.111777350379002
Golden Grove,2023-08-22,2024-05-24,12.426375520758512
Golden Heights,2023-08-22,2024-05-24,0.0
Goodwood,2023-08-22,2024-05-24,9.14438900886142
Goolwa,2023-08-22,2024-05-24,23.376373096935826
Goolwa Beach,2023-08-22,2024-05-24,9.02179422199696
Goolwa North,2023-08-22,2024-05-24,3.4312379906670327
Goolwa South,2023-08-22,2024-05-24,9.742120343839542
Gould Creek,2023-08-22,2024-05-24,0.0
Grange,2023-08-22,2024-05-24,11.194645640414413
Green Fields,2023-08-22,2024-05-24,0.0
Greenacres,2023-08-22,2024-05-24,14.620378210556026
Greenbanks,2023-08-22,2024-05-24,0.0
Greenhill,2023-08-22,2024-05-24,3.5335325023179145
Greenock,2023-08-22,2024-05-24,5.743982494529541
Greenwith,2023-08-22,2024-05-24,17.48103186646434
Gulfview Heights,2023-08-22,2024-05-24,3.6579015881280914
Gumeracha,2023-08-22,2024-05-24,34.937861018729215
Hackham,2023-08-22,2024-05-24,10.440744368266405
Hackham West,2023-08-22,2024-05-24,10.436270316509837
Hackney,2023-08-22,2024-05-24,-29.715136846024947
Hahndorf,2023-08-22,2024-05-24,-8.162892622352082
Hallett Cove,2023-08-22,2024-05-24,7.76978417266187
Hamley Bridge,2023-08-22,2024-05-24,16.98450536352801
Hampstead Gardens,2023-08-22,2024-05-24,9.683347469607012
Happy Valley,2023-08-22,2024-05-24,8.64864864864865
Hardwicke Bay,2023-08-22,2024-05-24,51.0194624652456
Harrogate,2023-08-22,2024-05-24,0.0
Hawker,2023-08-22,2024-05-24,0.0
Hawthorn,2023-08-22,2024-05-24,2.2211284070633117
Hawthorndene,2023-08-22,2024-05-24,7.482993197278912
Hayborough,2023-08-22,2024-05-24,8.967391304347826
Hazelwood Park,2023-08-22,2024-05-24,-1.0754098360655737
Heathfield,2023-08-22,2024-05-24,24.1934001286883
Heathpool,2023-08-22,2024-05-24,45.5149235816596
Hectorville,2023-08-22,2024-05-24,3.979604526800149
Hendon,2023-08-22,2024-05-24,5.980209379033415
Henley Beach,2023-08-22,2024-05-24,12.721429691174166
Henley Beach South,2023-08-22,2024-05-24,13.399023075627422
Hewett,2023-08-22,2024-05-24,5.532666274278988
Highbury,2023-08-22,2024-05-24,16.43521467702892
Highgate,2023-08-22,2024-05-24,26.926114741150283
Highland Valley,2023-08-22,2024-05-24,0.0
Hillbank,2023-08-22,2024-05-24,12.5
Hillcrest,2023-08-22,2024-05-24,14.356584485868911
Hillier,2023-08-22,2024-05-24,89.98518518518519
Hilton,2023-08-22,2024-05-24,18.65855237601968
Hindmarsh,2023-08-22,2024-05-24,0.0
Hindmarsh Island,2023-08-22,2024-05-24,1.2389597644749755
Hindmarsh Tiers,2023-08-22,2024-05-24,0.0
Hindmarsh Valley,2023-08-22,2024-05-24,-15.903293778418542
Holden Hill,2023-08-22,2024-05-24,10.641652215040203
Hope Valley,2023-08-22,2024-05-24,3.6541353383458643
Houghton,2023-08-22,2024-05-24,13.620454987361462
Hove,2023-08-22,2024-05-24,12.488254087577523
Huntfield Heights,2023-08-22,2024-05-24,5.881254667662435
Hyde Park,2023-08-22,2024-05-24,-30.30345602697387
Ingle Farm,2023-08-22,2024-05-24,13.569269073448337
Inglewood,2023-08-22,2024-05-24,0.0
Inman Valley,2023-08-22,2024-05-24,0.0
Ironbank,2023-08-22,2024-05-24,0.0
Island Beach,2023-08-22,2024-05-24,0.0
James Well,2023-08-22,2024-05-24,0.0
Jamestown,2023-08-22,2024-05-24,10.406885758998435
Jerusalem,2023-08-22,2024-05-24,0.0
Jervois,2023-08-22,2024-05-24,0.0
Joslin,2023-08-22,2024-05-24,5.6430446194225725
Jupiter Creek,2023-08-22,2024-05-24,0.0
Kadina,2023-08-22,2024-05-24,6.582278481012659
Kalangadoo,2023-08-22,2024-05-24,16.411483253588514
Kalbeeba,2023-08-22,2024-05-24,105.04138449962377
Kangarilla,2023-08-22,2024-05-24,45.209580838323355
Kanmantoo,2023-08-22,2024-05-24,13.0426982418371
Kapunda,2023-08-22,2024-05-24,12.380952380952381
Karoonda,2023-08-22,2024-05-24,15.414507772020725
Keith,2023-08-22,2024-05-24,43.42105263157895
Kensington,2023-08-22,2024-05-24,11.894682498709344
Kensington Gardens,2023-08-22,2024-05-24,0.42538354253835425
Kensington Park,2023-08-22,2024-05-24,-12.180660273772052
Kent Town,2023-08-22,2024-05-24,-3.673084972791963
Kersbrook,2023-08-22,2024-05-24,3.3773338090141514
Keswick,2023-08-22,2024-05-24,2.452852018974893
Keyneton,2023-08-22,2024-05-24,97.16247139588101
Kidman Park,2023-08-22,2024-05-24,6.907675194660734
Kilburn,2023-08-22,2024-05-24,13.2375189107413
Kilkenny,2023-08-22,2024-05-24,27.073677481221033
Kimba,2023-08-22,2024-05-24,0.0
Kings Park,2023-08-22,2024-05-24,-1.9634196225092035
Kingscote,2023-08-22,2024-05-24,16.89730517115805
Kingston On Murray,2023-08-22,2024-05-24,4.834096109839817
Kingston Park,2023-08-22,2024-05-24,-4.01752104578742
Kingston Se,2023-08-22,2024-05-24,3.2335011926848662
Kingswood,2023-08-22,2024-05-24,-1.268525496106506
Klemzig,2023-08-22,2024-05-24,11.96759864123334
Kongorong,2023-08-22,2024-05-24,0.0
Koolunga,2023-08-22,2024-05-24,-11.425061425061426
Kudla,2023-08-22,2024-05-24,33.42254408060453
Kurralta Park,2023-08-22,2024-05-24,7.830099063644999
Lameroo,2023-08-22,2024-05-24,0.0
Langhorne Creek,2023-08-22,2024-05-24,0.0
Largs Bay,2023-08-22,2024-05-24,-0.5853024062432256
Largs North,2023-08-22,2024-05-24,2.56785524215008
Laura,2023-08-22,2024-05-24,7.085953878406709
Leabrook,2023-08-22,2024-05-24,8.368200836820083
Lenswood,2023-08-22,2024-05-24,9.560342283859544
Lewiston,2023-08-22,2024-05-24,6.495176848874598
Linden Park,2023-08-22,2024-05-24,21.81509754028838
Littlehampton,2023-08-22,2024-05-24,14.168977090325404
Lobethal,2023-08-22,2024-05-24,10.968325791855204
Lock,2024-05-24,2024-05-24,0.0
Lockleys,2023-08-22,2024-05-24,5.654251961403192
Longwood,2023-08-22,2024-05-24,0.0
Louth Bay,2023-08-22,2024-05-24,0.0
Loveday,2023-08-22,2024-05-24,0.0
Lower Hermitage,2023-08-22,2024-05-24,0.0
Lower Inman Valley,2023-08-22,2024-05-24,14.88052781740371
Lower Light,2023-08-22,2024-05-24,0.0
Lower Mitcham,2023-08-22,2024-05-24,13.815961622328826
Loxton,2023-08-22,2024-05-24,10.45905059989567
Loxton North,2023-08-22,2024-05-24,-8.199856562275878
Lucindale,2023-08-22,2024-05-24,0.0
Lyndoch,2023-08-22,2024-05-24,13.182737693863789
Lynton,2023-08-22,2024-05-24,0.0
Lyrup,2023-08-22,2024-05-24,5.71677307022635
Macclesfield,2023-08-22,2024-05-24,17.5108322127596
Macdonald Park,2023-08-22,2024-05-24,16.197939029626447
Magill,2023-08-22,2024-05-24,3.479485116653258
Maitland,2023-08-22,2024-05-24,32.99005681818182
Mallala,2023-08-22,2024-05-24,18.75148350344173
Malvern,2023-08-22,2024-05-24,18.01813556004958
Manningham,2023-08-22,2024-05-24,2.1739130434782608
Mannum,2023-08-22,2024-05-24,39.2260579064588
Mansfield Park,2023-08-22,2024-05-24,10.811258278145695
Marden,2023-08-22,2024-05-24,13.780672171182696
Marino,2023-08-22,2024-05-24,12.649036306588973
Marion,2023-08-22,2024-05-24,19.534300055772448
Marion Bay,2023-08-22,2024-05-24,38.312586445366534
Marleston,2023-08-22,2024-05-24,9.562073121735637
Marryatville,2023-08-22,2024-05-24,-8.437987359435278
Maslin Beach,2023-08-22,2024-05-24,12.21578873040531
Mawson Lakes,2023-08-22,2024-05-24,10.360763267740012
Maylands,2023-08-22,2024-05-24,8.06286836935167
McCracken,2023-08-22,2024-05-24,23.39824120603015
McLaren Vale,2023-08-22,2024-05-24,4.044117647058823
Mclaren Flat,2023-08-22,2024-05-24,-4.311789905010244
